ID,T,tau,time,N_total,N_bulk,N_surface,Volume,R_min,R_max,R_diff,R_avg,R_std,R_skew,R_kurt,S_100,S_111,S_110,S_311,Curve_1-10,Curve_11-20,Curve_21-30,Curve_31-40,Curve_41-50,Curve_51-60,Curve_61-70,Curve_71-80,Curve_81-90,Curve_91-100,Curve_101-110,Curve_111-120,Curve_121-130,Curve_131-140,Curve_141-150,Curve_151-160,Curve_161-170,Curve_171-180,Avg_total,Avg_bulk,Avg_surf,TCN_0,TCN_1,TCN_2,TCN_3,TCN_4,TCN_5,TCN_6,TCN_7,TCN_8,TCN_9,TCN_10,TCN_11,TCN_12,TCN_13,TCN_14,TCN_15,TCN_16,TCN_17,TCN_18,TCN_19,TCN_20,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,SCN_0,SCN_1,SCN_2,SCN_3,SCN_4,SCN_5,SCN_6,SCN_7,SCN_8,SCN_9,SCN_10,SCN_11,SCN_12,SCN_13,SCN_14,SCN_15,SCN_16,SCN_17,SCN_18,SCN_19,SCN_20,Avg_bonds,Std_bonds,Max_bonds,Min_bonds,N_bonds,angle_avg,angle_std,FCC,HCP,ICOS,DECA,q6q6_avg_total,q6q6_avg_bulk,q6q6_avg_surf,q6q6_T0,q6q6_T1,q6q6_T2,q6q6_T3,q6q6_T4,q6q6_T5,q6q6_T6,q6q6_T7,q6q6_T8,q6q6_T9,q6q6_T10,q6q6_T11,q6q6_T12,q6q6_T13,q6q6_T14,q6q6_T15,q6q6_T16,q6q6_T17,q6q6_T18,q6q6_T19,q6q6_T20,q6q6_T20+,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+,q6q6_S0,q6q6_S1,q6q6_S2,q6q6_S3,q6q6_S4,q6q6_S5,q6q6_S6,q6q6_S7,q6q6_S8,q6q6_S9,q6q6_S10,q6q6_S11,q6q6_S12,q6q6_S13,q6q6_S14,q6q6_S15,q6q6_S16,q6q6_S17,q6q6_S18,q6q6_S19,q6q6_S20,q6q6_S20+,Total_E,Formation_E
1,273,0.000025,1,1599,1014,585,2.71E-26,15.5898,19.4516,3.8618,17.3706,0.623,-0.0435,-0.0731,0,81,119,0,105,229,203,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.177,12.5552,8.788,0,0,0,0,0,2,24,81,146,169,91,117,455,402,101,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,434,398,101,11,0,0,0,0,0,0,0,0,0,0,2,24,81,146,169,91,47,21,4,0,0,0,0,0,0,0,2.9222,0.22398,3.5995,2.37931,8936,95.5363,34.16983878,24,23,2,8,2.5153,2.7535,2.1026,545,334,195,119,74,67,47,47,40,48,18,25,30,8,2,0,0,0,0,0,0,0,356,197,112,70,41,42,29,29,27,30,17,25,30,7,2,0,0,0,0,0,0,0,189,137,83,49,33,25,18,18,13,18,1,0,0,1,0,0,0,0,0,0,0,0,-5908.6345,343.4555
2,273,0.000025,2,1642,1034,608,2.78E-26,15.3996,24.1755,8.776,17.6061,0.9295,2.0673,9.9355,0,65,81,1,111,213,204,64,5,7,4,0,0,0,0,0,0,0,0,0,0,0,11.0719,12.4952,8.6513,0,3,2,4,4,6,33,70,138,172,105,131,484,392,90,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,73,470,389,90,8,0,0,0,0,0,0,3,2,4,4,6,33,70,138,172,101,58,14,3,0,0,0,0,0,0,0,2.92505,0.23034,3.6,1.88749,9090,95.5073,34.24599169,30,35,1,7,2.5335,2.9188,1.8783,595,291,189,112,94,74,71,46,51,37,28,22,20,10,2,0,0,0,0,0,0,0,345,183,117,54,62,48,45,40,36,25,26,22,19,10,2,0,0,0,0,0,0,0,250,108,72,58,32,26,26,6,15,12,2,0,1,0,0,0,0,0,0,0,0,0,-6035.4034,384.8166
3,273,0.000025,3,4637,3365,1272,7.85E-26,21.9199,31.0305,9.1106,25.3692,1.0701,0.3618,1.2311,4,204,168,24,306,304,443,171,23,18,6,1,0,0,0,0,0,0,0,0,0,0,11.3862,12.3902,8.7303,0,2,2,4,11,17,66,150,246,386,240,288,1932,1103,178,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,172,1898,1101,178,12,0,0,0,0,0,0,2,2,4,11,17,66,150,246,386,236,116,34,2,0,0,0,0,0,0,0,2.9212,0.20972,3.59995,1.74535,26399,96.0506,34.60998179,700,376,0,17,7.303,8.4074,4.3813,414,284,219,242,224,232,267,291,311,340,287,298,960,247,21,0,0,0,0,0,0,0,163,167,134,141,129,133,150,168,212,224,236,281,959,247,21,0,0,0,0,0,0,0,251,117,85,101,95,99,117,123,99,116,51,17,1,0,0,0,0,0,0,0,0,0,-17330.166,800.504
4,273,0.000025,4,7189,5292,1897,1.22E-25,23.2542,37.8795,14.6253,29.7011,2.3732,0.1431,-0.1013,8,178,246,46,383,282,729,403,72,19,9,0,0,0,0,0,0,0,0,0,0,0,11.3198,12.3027,8.5778,0,2,3,6,13,43,138,272,369,492,366,383,3444,1447,204,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,35,191,3407,1445,204,7,0,0,0,0,0,0,2,3,6,13,43,138,271,369,490,331,192,37,2,0,0,0,0,0,0,0,2.91181,0.19347,3.59993,1.70155,40689,96.3417,34.74268759,1858,823,0,11,9.5565,11.0017,5.525,255,159,158,158,198,217,275,326,420,431,406,553,2784,732,117,0,0,0,0,0,0,0,42,39,41,43,63,70,87,112,193,204,285,489,2775,732,117,0,0,0,0,0,0,0,213,120,117,115,135,147,188,214,227,227,121,64,9,0,0,0,0,0,0,0,0,0,-26937.201,1171.789
5,273,0.000025,5,11004,8508,2496,1.86E-25,27.12,39.7614,12.6415,34.2831,1.9397,-0.3849,-0.0888,18,204,269,57,451,328,966,585,121,40,5,0,0,0,0,0,0,0,0,0,0,0,11.3851,12.2159,8.5533,0,5,1,5,23,49,230,339,503,584,505,623,6044,1849,238,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,56,357,5993,1847,238,6,0,0,0,0,0,0,5,1,5,23,49,230,339,501,575,449,266,51,2,0,0,0,0,0,0,0,2.91042,0.18423,3.6,1.8425,62641,96.5052,34.85925089,3575,1350,0,28,9.863,11.1281,5.5505,345,196,205,201,218,279,393,477,594,637,585,719,5036,983,136,0,0,0,0,0,0,0,43,39,70,77,64,89,112,169,307,317,429,645,5029,982,136,0,0,0,0,0,0,0,302,157,135,124,154,190,281,308,287,320,156,74,7,1,0,0,0,0,0,0,0,0,-41427.901,1597.739
6,273,0.000025,6,13375,10768,2607,2.26E-25,33.2496,42.9612,9.7116,36.6334,1.0219,0.3804,1.8118,19,261,312,125,488,345,1141,533,84,14,2,0,0,0,0,0,0,0,0,0,0,0,11.4962,12.1987,8.5946,0,0,0,0,6,48,270,394,487,591,466,680,8168,1961,304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,27,348,8125,1957,304,0,0,0,0,0,0,0,0,0,0,6,48,270,393,487,585,439,332,43,4,0,0,0,0,0,0,0,2.90785,0.17189,3.59978,2.24791,76881,96.739,34.88583493,5019,1983,0,52,10.4652,11.3879,6.654,181,141,134,147,204,278,410,547,662,747,647,847,6990,1219,221,0,0,0,0,0,0,0,33,43,54,59,67,75,106,165,338,312,399,704,6973,1219,221,0,0,0,0,0,0,0,148,98,80,88,137,203,304,382,324,435,248,143,17,0,0,0,0,0,0,0,0,0,-50687.666,1608.584
7,273,0.000025,7,13795,11155,2640,2.34E-25,33.6164,41.6168,8.0004,37.0108,0.8979,0.3041,0.7973,33,297,387,117,505,342,1138,586,62,7,0,0,0,0,0,0,0,0,0,0,0,0,11.523,12.2091,8.6239,0,0,0,0,2,48,266,403,489,599,443,658,8487,2120,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,310,8428,2119,280,0,0,0,0,0,0,0,0,0,0,2,48,266,403,489,599,425,348,59,1,0,0,0,0,0,0,0,2.90774,0.17043,3.59996,2.33093,79480,96.6929,34.9740874,5367,1972,0,49,10.7094,11.5476,7.1674,73,73,104,135,172,277,371,544,715,766,669,887,7440,1364,205,0,0,0,0,0,0,0,10,24,28,50,55,67,74,117,340,303,400,699,7419,1364,205,0,0,0,0,0,0,0,63,49,76,85,117,210,297,427,375,463,269,188,21,0,0,0,0,0,0,0,0,0,-52334.79,1603.66
8,273,0.000025,8,13947,11304,2643,2.36E-25,34.5185,41.4386,6.9201,37.1672,0.8595,0.3214,0.8032,36,308,355,122,522,360,1162,531,62,6,0,0,0,0,0,0,0,0,0,0,0,0,11.5132,12.1924,8.608,0,0,0,0,2,39,267,428,492,597,445,658,8731,2029,258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,330,8669,2026,258,1,0,0,0,0,0,0,0,0,0,2,39,267,428,492,597,425,328,62,3,0,0,0,0,0,0,0,2.90767,0.1692,3.59995,2.36259,80287,96.7074,34.94343694,5441,2124,0,60,10.6902,11.5116,7.1771,90,68,106,115,182,228,440,550,730,784,695,885,7612,1280,182,0,0,0,0,0,0,0,15,16,47,46,46,62,95,134,354,303,427,704,7593,1280,182,0,0,0,0,0,0,0,75,52,59,69,136,166,345,416,376,481,268,181,19,0,0,0,0,0,0,0,0,0,-52912.315,1620.455
9,273,0.000025,9,14020,11357,2663,2.37E-25,34.7525,41.5998,6.8473,37.2103,0.8483,0.3588,0.953,41,324,358,129,531,355,1164,537,71,5,0,0,0,0,0,0,0,0,0,0,0,0,11.505,12.1859,8.6012,0,0,0,0,1,50,272,419,489,602,450,653,8913,1884,285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,318,8854,1883,285,2,0,0,0,0,0,0,0,0,0,1,50,272,419,489,602,435,335,59,1,0,0,0,0,0,0,0,2.90576,0.16715,3.59991,2.35481,80650,96.6981,35.04014207,5649,2117,0,61,10.688,11.5079,7.1915,79,69,123,142,174,242,417,553,733,762,666,870,7792,1202,196,0,0,0,0,0,0,0,14,19,53,51,56,66,98,110,359,290,387,689,7767,1202,196,0,0,0,0,0,0,0,65,50,70,91,118,176,319,443,374,472,279,181,25,0,0,0,0,0,0,0,0,0,-53212.132,1606.068
10,273,0.000025,10,14056,11389,2667,2.38E-25,34.787,41.5401,6.7531,37.2467,0.8308,0.3666,0.9661,38,314,384,130,524,373,1151,547,67,5,0,0,0,0,0,0,0,0,0,0,0,0,11.5196,12.1953,8.6344,0,0,0,0,2,40,271,401,506,601,457,656,8824,2024,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,320,8760,2022,274,0,0,0,0,0,0,0,0,0,0,2,40,271,401,506,601,444,336,64,2,0,0,0,0,0,0,0,2.90713,0.16827,3.59993,2.37809,80960,96.7822,34.89325383,5607,2086,0,59,10.684,11.5006,7.1969,92,87,126,113,156,280,388,546,746,802,640,871,7751,1269,189,0,0,0,0,0,0,0,18,24,57,44,51,69,87,131,361,321,366,681,7722,1268,189,0,0,0,0,0,0,0,74,63,69,69,105,211,301,415,385,481,274,190,29,1,0,0,0,0,0,0,0,0,-53347.803,1611.157
